row,source,source_id,listing_id,url,title,description_excerpt,pred_has_water,truth_has_water,pred_has_power,truth_has_power,pred_has_paved_access,truth_has_paved_access,pred_is_flat,truth_is_flat,pred_has_ocean_view,truth_has_ocean_view,pred_has_mountain_view,truth_has_mountain_view,pred_has_water_body,truth_has_water_body,pred_is_beachfront_text,truth_is_beachfront_text,pred_land_type,truth_land_type,labeler_notes
1,bienesraices,2074,bienesraices|2074,https://bienesraicesenelsalvador.com/propiedad/lote-de-5000-v2-en-el-capulin-colon-cerca-de-campos-verdes-300k-2074,"Lote de 5000 V² en El Capulín, Colón, cerca de Campos Verdes - $300K","¡OPORTUNIDAD ÚNICA DE INVERSIÓN Y DESARROLLO EN COLÓN, LA LIBERTAD!   Ponemos a su disposición un extenso lote de terreno con una ubicación privilegiada y potencial ilimitado, perfectamente apto para una casa de campo, bodega o complejo de bodegas.   Características y Beneficios Clave:      Ubicación Estratégica:  El terreno se encuentra en la ubicación geográfica de  El Capulín, Colón, La Liberta",1,,0,,0,,0,,0,,0,,0,,0,,agricultural,,
2,century21,738070,century21|738070,https://www.century21elsalvador.com/propiedad/738070_amplio-terreno-premium-a-la-venta-con-vista-privilegiada/oficina_4942-century-21-el-salvador_local,Amplio terreno premium a la venta con vista privilegiada,,0,,0,,0,,0,,0,,0,,0,,0,,raw,,
3,goodlife,three-cliffside-lots-near-el-zonte-399-1-1m,goodlife|three-cliffside-lots-near-el-zonte-399-1-1m,https://goodlifeelsalvador.com/property-item/three-cliffside-lots-near-el-zonte-399-1-1m/,"Three Cliffside Lots Near El Zonte, $399,000 & $1.1M","Three cliffside lots just 4 minutes from El Zonte, offering spectacular ocean views and a front-row seat to the energy of Surf City. These properties are ideal for developing an oceanfront home, boutique accommodations, or a small hotel — projects that can take full advantage of the area’s growing demand for tourism and real estate.Their strategic location combines the best of restaurants, surf br",0,,0,,0,,0,,1,,0,,0,,0,,raw,,
4,oceanside,13544,oceanside|13544,https://oceansideelsalvador.com/rental-details/cerromar-stage-3-lot-3/,CERROMAR stage 3 lot #3,"Located in Stage 3 of Cerromar, one of the most exclusive gated communities in Surf City 1 , this lot offers the perfect blend of coastal lifestyle and investment potential. Show more Cerromar sits in El Sunzal , a highly sought-after area along the Surf City corridor thanks to its proximity to world-class waves, tourism, and rapidly increasing property values. From the property you are just minut",1,,0,,0,,0,,0,,0,,0,,0,,recreational,,
5,remax,002284175001,remax|002284175001,https://www.remax-elsalvador.com/002284175001,Exclusive Land in Golden Lake – Costa del Sol,,0,,0,,0,,0,,0,,0,,0,,0,,raw,,
6,remax,002472129072,remax|002472129072,https://www.remax-elsalvador.com/002472129072,"Land for sale in A8. La Ceiba Subdivision, Nueva Concepción, Chalatenango",,0,,0,,0,,0,,0,,0,,0,,0,,raw,,
7,remax,003093518021,remax|003093518021,https://www.remax-elsalvador.com/003093518021,LAND WITH A VIEW IN SALCOATITAN,,0,,0,,0,,0,,0,,0,,0,,0,,raw,,
8,remax,003063506012,remax|003063506012,https://www.remax-elsalvador.com/003063506012,LAND FOR SALE ON MOTOCROSS STREET,"Location: JURISDICTION OF SAN ANTONIO ABADArea: 2,584.3168 m² (3,697.71 sq. yd.)Price: $251,444.28Excellent opportunity for your commercial or development project in one of the busiest areas.",0,,0,,0,,0,,0,,0,,0,,0,,commercial,,
9,remax,2282685112,remax|2282685112,https://www.remax-elsalvador.com/2282685112,Lot for sale in the Quintas de San Emilio - Planes de Renderos,,0,,0,,0,,0,,0,,0,,0,,0,,raw,,
10,bienesraices,1646,bienesraices|1646,https://bienesraicesenelsalvador.com/propiedad/terreno-playa-san-diego-1002vr2-frente-al-mar-sc1-ceap-1646,RANCHO PLAYA SAN DIEGO 1002vr2 FRENTE AL MAR  ( EN CONSTRUCCION MODERNA )  sc1 cea.p,"RANCHO PLAYA SAN DIEGO 1002vr2 FRENTE AL MAR ( EN CONSTRUCION MODERNA )    PRECIO VENTA : $675,000  Area Terreno : 700 mt2 / 1002 vr2    Medidas 20 de frente x 35 mts fondo En primera linea ( Frente al mar tiene un terreno adicional )    A 10 minutos del ByPass Surf City 1 A 40 minutos del Aeropuerto Comalapa    Atte  Carlos Puente  (503) 7851-3928:Whatsapp puentecea@hotmail.com  www.bienesraicese",0,,0,,0,,0,,0,,0,,0,,1,,raw,,
11,remax,003113372003,remax|003113372003,https://www.remax-elsalvador.com/003113372003,INVESTMENT OPPORTUNITY NEAR TO THE INTERNATIONAL AIRPORT IN SAN LUIS TALPA,,0,,0,,0,,0,,0,,0,,0,,0,,raw,,
12,remax,002874232003,remax|002874232003,https://www.remax-elsalvador.com/002874232003,"COMMERCIAL LOT IN SANTA JULIA COUNTY, COSTA DEL SOL",,0,,0,,0,,0,,0,,0,,0,,0,,commercial,,
13,bienesraices,2202,bienesraices|2202,https://bienesraicesenelsalvador.com/propiedad/venta-de-terreno-agricola-en-usulutan-400-manzanas-100-planas-ideal-ganaderia-y-cultivo-2202,Venta de Terreno Agrícola en Usulután  400 Manzanas 100% Planas  Ideal Ganadería y Cultivo,"¡Oportunidad Excepcional para el Desarrollo Agroindustrial a Gran Escala!   Se pone a disposición una de las extensiones de tierra más privilegiadas de la zona oriental de El Salvador. Con una superficie total de  400 manzanas , esta propiedad destaca por su  topografía 100% plana , convirtiéndola en el lienzo perfecto para proyectos de tecnificación agrícola, ganadería de alto rendimiento o inver",0,,0,,0,,0,,0,,0,,0,,0,,agricultural,,
14,remax,003113372025,remax|003113372025,https://www.remax-elsalvador.com/003113372025,"LOT READY TO BUILD IN, IT’S CLOSE TO LAS RAMBLAS, SANTA ANA",,0,,0,,0,,0,,0,,0,,0,,0,,raw,,
